Anlassnummer,Anlassbezeichnung
I.BA_BUPEC.19,I.Business Project 2 Economics
I.BA_BUPIC.20,I.Intercultural Business Project
I.BA_BUPTE.19,I.Business Project 1 Technology
I.BA_BUSOD.19,I.Business Software Development
I.BA_BW.16,I.Betriebswirtschaft
I.BA_CAB_E.19,I.Cloud-Services Angebot & Betrieb
I.BA_CAB_K.19,I.Cloud-Services Angebot & Betrieb
I.BA_CAB_MM.19,I.Cloud-Services Angebot & Betrieb
I.BA_CAEPRO.19,I.Cambridge Proficiency
I.BA_CCNA.16,I.Computer Networks (CCNA)
I.BA_CCNA1&2ZERT.20,I.Cisco Zertifizierung Semester 1&2
I.BA_CG_E.18,I.Computer Graphics
I.BA_CG_K.18,I.Computer Graphics
I.BA_CG_MM.18,I.Computer Graphics
I.BA_CHMA.16,I.Change Management
I.BA_CI.17,I.Cloud Infrastructure
I.BA_CILAB_E.18,I.Cloud Infrastructure Lab
I.BA_CILAB_K.18,I.Cloud Infrastructure Lab
I.BA_CILAB_MM.18,I.Cloud Infrastructure Lab
I.BA_CISO_ISSUES.21,I.Ciso Office Issues
I.BA_CLOUDSEC.20,I.Cloud Security
I.BA_CLOUDSEC_E.21,I.Cloud Security
I.BA_CLOUDSEC_K.21,I.Cloud Security
I.BA_CLOUDSEC_MM.21,I.Cloud Security
I.BA_CNA.16,I.Computer & Network Architecture
I.BA_CNF.16,I.Computer Network Fundamentals
I.BA_CNF_2_NETW2.21,I.CNF Upgrade zu NETW2
I.BA_CNF_K.18,I.Computer Network Fundamentals
I.BA_COBAU.20,I.Compilerbau
I.BA_CONS.19,I.Consulting
I.BA_CONS.20,I.Consulting (Blockwoche)
I.BA_CONWB.18,I.Computer & Network Basics
I.BA_CPLAB.20,I.Cloud Programming Lab
I.BA_CRS.19,I.Crisis Recovery Strategies
I.BA_CSA.16,I.C# in Action
I.BA_CSF.18,I.Computer Science Fundamentals
I.BA_CT_E.21,I.Cloud Technology
I.BA_CT_K.21,I.Cloud Technology
I.BA_CT_MM.21,I.Cloud Technology
I.BA_CVIZ.22,I.Computer Vision
I.BA_CYBER.17,I.Cyber Defence
I.BA_CYBER2.22,I.Cyber 2 Advanced Pentesting and Bug Bounties
I.BA_DAMA_E.19,I.Datenmanagement
I.BA_DAMA_K.19,I.Datenmanagement
I.BA_DAMA_MM.19,I.Datenmanagement
I.BA_DAMGT.19,I.Data Management
I.BA_DASB.18,I.Data Science Basics
I.BA_DAVI.18,I.Datenvisualisierung
I.BA_DAWA.17,I.Data Warehousing
I.BA_DB&S.19,I.Datenbanken & Sicherheit
I.BA_DBS.17,I.Datenbanksysteme
I.BA_DCEX.19,I.Digital Customer Experience
I.BA_DIBA.16,I.Digital & IT Basics
I.BA_DIBM.18,I.Digitale Business Models
I.BA_DICO.19,I.Digitales Controlling / IT Controlling
I.BA_DIGCRE.21,I.Digital Creativity
I.BA_DILA.17,I.Digital Law
I.BA_DIMA.19,I.Digital Marketing
I.BA_DIST.17,I.Digital Strategy
I.BA_DITI.19,I.Digitale Transformation in der Industrie
I.BA_DI_TUT.19,I.Tutorials Digital Ideation
I.BA_DL4G.18,I.Deep Learning for Games
I.BA_DMATH.16,I.Diskrete Mathematik
I.BA_DMG.16,I.Datenmanagement
I.BA_DMGH.22,I.Digital Marketing and Growth Hacking (Blockwoche)
I.BA_DSO.19,I.Datenschutz in Organisation
I.BA_DSTPS.20,"I.Digital Strategies, Products & Services"
I.BA_DS_ISA.20,I.ISA_Drehbuch schreiben
I.BA_DTHINK.21,I.Design Thinking for Entrepreneurs (Blockwoche)
I.BA_DVIZ.21,I.Data Visualisation for AI and Machine Learning
I.BA_EALA.19,I.Enterprise & Application Landscape Architecture
I.BA_ECOM.21,I.E-Commerce
I.BA_ENGDBU.20,I.English for Digital Business
I.BA_ENGFTD.20,I.English for Future Technology Development
I.BA_ENGPRA.20,I.English for Preparation Abroad
I.BA_ENGSDC.20,I.English for Strategic and Digital Communication
I.BA_ENGTCS.20,I.English for Technical & Computer Science
I.BA_ENICS1.19,I.English for Information & Cyber Security C1
I.BA_ENLAB_E.20,I.Enterprise Programming Lab
I.BA_ENLAB_K.20,I.Enterprise Programming Lab
I.BA_ENLAB_MM.20,I.Enterprise Programming Lab
I.BA_ENWC_A.17,I.21st Century Workplace Communication - Advanced
I.BA_ENWC_HI.17,I.21st Century Workplace Communication - Higher Intermediate
I.BA_EPRE.20,I.Enterpreneurship
I.BA_ERP1.18,I.ERP-Zertifizierung 1 (Anwender SAP)
I.BA_ERP2.19,I.ERP-Zertifizierung 2 (Beraterzertifikat SAP)
I.BA_ERPAP.19,I.ERP-Systems
I.BA_ESHIP.18,I.Entrepreneurship (Blockwoche)
I.BA_ETHAI.22,I.Ethics and AI
I.BA_ETHIK_E.19,I.Ethik
I.BA_ETHIK_K.19,I.Ethik
I.BA_ETHIK_MM.19,I.Ethik
I.BA_ETHIK_Z.19,I.Ethik
I.BA_EXCH2.21,I.Exchange 2: Campus Experience India/China
I.BA_FADU.16,I.Finance & Accounting im digitalen Umfeld
I.BA_FININ.20,I.Finance & Investments
