DIBA,Digital & IT Basics,DIBA
DIBM,Digitale Business Models,DIBM
DICO,Digitales Controlling / IT Controlling,DICO
DIGCRE,Digital Creativity,DIGCRE
DILA,Digital Law,LAW
DIMA,Digital Marketing,DIMA
DIST,Digital Strategy,DIST
DITI,Digitale Transformation in der Industrie,DITI
DI,Tutorials Digital Ideation,DI
DL4G,Deep Learning for Games,DL4G
DMATH,Diskrete Mathematik,MATH
DMG,Datenmanagement,DMG
DMGH,Digital Marketing and Growth Hacking (Blockwoche),BLOCKWEEK
DSO,Datenschutz in Organisation,DSO
DSTPS,Digital Strategies,DSTPS
DS,Drehbuch schreiben,DS
DTHINK,Design Thinking for Entrepreneurs (Blockwoche),BLOCKWEEK
DVIZ,Data Visualisation for AI and Machine Learning,MACHINELEARNING
EALA,Enterprise & Application Landscape Architecture,EALA
ECOM,E-Commerce,ECOM
ENGDBU,English for Digital Business,LANGUAGES
ENGFTD,English for Future Technology Development,LANGUAGES
ENGPRA,English for Preparation Abroad,LANGUAGES
ENGSDC,English for Strategic and Digital Communication,LANGUAGES
ENGTCS,English for Technical & Computer Science,LANGUAGES
ENICS1,English for Information & Cyber Security C1,LANGUAGES
ENLAB,Enterprise Programming Lab,ENLAB
ENWC,21st Century Workplace Communication - Advanced,ENWC
EPRE,Enterpreneurship,EPRE
ERP1,ERP-Zertifizierung 1 (Anwender SAP),ERP
ERP2,ERP-Zertifizierung 2 (Beraterzertifikat SAP),ERP
ERPAP,ERP-Systems,ERPAP
ESHIP,Entrepreneurship (Blockwoche),BLOCKWEEK
ETHAI,Ethics and AI,ETHAI
ETHIK,Ethik,ETHIK
EXCH2,Exchange 2: Campus Experience India/China,SOCIAL
FADU,Finance & Accounting im digitalen Umfeld,ACCOUNTING
FININ,Finance & Investments,FININ
FITE,FinTech,FITE
FITI,Future IT Infrastructure,FITI
FKOM,Fachkommunikation,FKOM
FM,Forschungsmitarbeit,FM
FOMED,Formen der Mediengestaltung,FOMED
FORDIN,Forensic Readiness,FORDIN
GAMEDES,Game Design,GAMEDESIGN
GAMEDEV,Game Development,GAMEDEV
GEEI,Geistiges Eigentum – Chancen und Risiken (Blockwoche),BLOCKWEEK
GIS,Geographic Information Systems,GIS
GPDA,Geschäftsprozesse digitalisieren und automatisieren,GPDA
GPOR,Geschäftsprozesse & Organisation,GPOR
HFD,Human Factors & Design,USERINTERFACE
HOA,Human & Organizational Apsects of InfoSec,HOA
HPP,High Potential Project 1,HPP
HTCLAW,High Tech Cybercrime & Law,LAW
IAM,Identity Access Management & DLP,IAM
IAVR,Interaction for Virtual Reality (Blockwoche),BLOCKWEEK
IBIS,Integrierte betriebliche Informationssysteme,IBIS
IGL,Informatik-Grundlagen,IGL
IIP1,Integrales Informatik Praxisprojekt 1,IIP
IIP2,Integrales Informatik Praxisprojekt 2,IIP
IL,Lecture at Tel Aviv University,IL
IMATH,Informatik Mathematik,MATH
IMLAB,Immersive Labs,IMLAB
IM,IT-Konzepte & Modelle,IM
IND4,Industrie 4,IND4
INFKOL,Computer Science Hot Topics,INFKOL
INFR,Informatikrecht,LAW
INFSC,Informations Security,SECURITY
